Source IP,Destination IP,Destination Port,Duration Ms,Bytes Sent,Bytes Received,Label
192.168.1.11,10.0.0.1,443,53,312,1225,BENIGN
192.168.1.12,10.0.0.1,80,56,324,1250,BENIGN
192.168.1.13,10.0.0.1,443,59,336,1275,BENIGN
192.168.1.14,10.0.0.1,80,62,348,1300,BENIGN
192.168.1.15,10.0.0.1,443,65,360,1325,BENIGN
192.168.1.16,10.0.0.1,80,68,372,1350,BENIGN
192.168.1.17,10.0.0.1,443,71,384,1375,BENIGN
192.168.1.18,10.0.0.1,80,74,396,1400,BENIGN
192.168.1.19,10.0.0.1,443,77,408,1425,BENIGN
192.168.1.20,10.0.0.1,80,80,420,1450,BENIGN
192.168.1.21,10.0.0.1,443,83,432,1475,BENIGN
192.168.1.22,10.0.0.1,80,86,444,1500,BENIGN
192.168.1.23,10.0.0.1,443,89,456,1525,BENIGN
192.168.1.24,10.0.0.1,80,92,468,1550,BENIGN
192.168.1.10,10.0.0.1,443,95,480,1575,BENIGN
192.168.1.11,10.0.0.1,80,98,492,1600,BENIGN
192.168.1.12,10.0.0.1,443,101,504,1625,BENIGN
192.168.1.13,10.0.0.1,80,104,516,1650,BENIGN
192.168.1.14,10.0.0.1,443,107,528,1675,BENIGN
192.168.1.15,10.0.0.1,80,110,540,1700,BENIGN
192.168.1.16,10.0.0.1,443,113,552,1725,BENIGN
192.168.1.17,10.0.0.1,80,116,564,1750,BENIGN
192.168.1.18,10.0.0.1,443,119,576,1775,BENIGN
192.168.1.19,10.0.0.1,80,122,588,1800,BENIGN
192.168.1.20,10.0.0.1,443,125,600,1825,BENIGN
192.168.1.21,10.0.0.1,80,128,612,1850,BENIGN
192.168.1.22,10.0.0.1,443,131,624,1875,BENIGN
192.168.1.23,10.0.0.1,80,134,636,1900,BENIGN
192.168.1.24,10.0.0.1,443,137,648,1925,BENIGN
192.168.1.10,10.0.0.1,80,140,660,1950,BENIGN
192.168.1.11,10.0.0.1,443,143,672,1975,BENIGN
192.168.1.12,10.0.0.1,80,146,684,2000,BENIGN
192.168.1.13,10.0.0.1,443,149,696,2025,BENIGN
192.168.1.14,10.0.0.1,80,152,708,2050,BENIGN
192.168.1.15,10.0.0.1,443,155,720,2075,BENIGN
192.168.1.16,10.0.0.1,80,158,732,2100,BENIGN
192.168.1.17,10.0.0.1,443,161,744,2125,BENIGN
192.168.1.18,10.0.0.1,80,164,756,2150,BENIGN
192.168.1.19,10.0.0.1,443,167,768,2175,BENIGN
192.168.1.20,10.0.0.1,80,170,780,2200,BENIGN
192.168.1.21,10.0.0.1,443,173,792,2225,BENIGN
192.168.1.22,10.0.0.1,80,176,804,2250,BENIGN
192.168.1.23,10.0.0.1,443,179,816,2275,BENIGN
192.168.1.24,10.0.0.1,80,182,828,2300,BENIGN
192.168.1.10,10.0.0.1,443,185,840,2325,BENIGN
192.168.1.11,10.0.0.1,80,188,852,2350,BENIGN
192.168.1.12,10.0.0.1,443,191,864,2375,BENIGN
192.168.1.13,10.0.0.1,80,194,876,2400,BENIGN
192.168.1.14,10.0.0.1,443,197,888,2425,BENIGN
192.168.1.15,10.0.0.1,80,200,900,2450,BENIGN
172.16.0.6,10.0.0.5,1010,5050,12100,160,PortScan
172.16.0.7,10.0.0.5,1020,5100,12200,170,PortScan
172.16.0.5,10.0.0.5,1030,5150,12300,180,PortScan
172.16.0.6,10.0.0.5,1040,5200,12400,190,PortScan
172.16.0.7,10.0.0.5,1050,5250,12500,200,PortScan
172.16.0.5,10.0.0.5,1060,5300,12600,210,PortScan
172.16.0.6,10.0.0.5,1070,5350,12700,220,PortScan
172.16.0.7,10.0.0.5,1080,5400,12800,230,PortScan
172.16.0.5,10.0.0.5,1090,5450,12900,240,PortScan
172.16.0.6,10.0.0.5,1100,5500,13000,250,PortScan
172.16.0.7,10.0.0.5,1110,5550,13100,260,PortScan
172.16.0.5,10.0.0.5,1120,5600,13200,270,PortScan
172.16.0.6,10.0.0.5,1130,5650,13300,280,PortScan
172.16.0.7,10.0.0.5,1140,5700,13400,290,PortScan
172.16.0.5,10.0.0.5,1150,5750,13500,300,PortScan
172.16.0.6,10.0.0.5,1160,5800,13600,310,PortScan
172.16.0.7,10.0.0.5,1170,5850,13700,320,PortScan
172.16.0.5,10.0.0.5,1180,5900,13800,330,PortScan
172.16.0.6,10.0.0.5,1190,5950,13900,340,PortScan
172.16.0.7,10.0.0.5,1200,6000,14000,350,PortScan
172.16.0.5,10.0.0.5,1210,6050,14100,360,PortScan
172.16.0.6,10.0.0.5,1220,6100,14200,370,PortScan
172.16.0.7,10.0.0.5,1230,6150,14300,380,PortScan
172.16.0.5,10.0.0.5,1240,6200,14400,390,PortScan
172.16.0.6,10.0.0.5,1250,6250,14500,400,PortScan
172.16.0.7,10.0.0.5,1260,6300,14600,410,PortScan
172.16.0.5,10.0.0.5,1270,6350,14700,420,PortScan
172.16.0.6,10.0.0.5,1280,6400,14800,430,PortScan
172.16.0.7,10.0.0.5,1290,6450,14900,440,PortScan
172.16.0.5,10.0.0.5,1300,6500,15000,450,PortScan
198.51.100.21,10.0.0.8,8080,215,4580,870,WebAttack
198.51.100.22,10.0.0.8,8080,230,4660,890,WebAttack
198.51.100.23,10.0.0.8,8080,245,4740,910,WebAttack
198.51.100.20,10.0.0.8,8080,260,4820,930,WebAttack
198.51.100.21,10.0.0.8,8080,275,4900,950,WebAttack
198.51.100.22,10.0.0.8,8080,290,4980,970,WebAttack
198.51.100.23,10.0.0.8,8080,305,5060,990,WebAttack
198.51.100.20,10.0.0.8,8080,320,5140,1010,WebAttack
198.51.100.21,10.0.0.8,8080,335,5220,1030,WebAttack
198.51.100.22,10.0.0.8,8080,350,5300,1050,WebAttack
198.51.100.23,10.0.0.8,8080,365,5380,1070,WebAttack
198.51.100.20,10.0.0.8,8080,380,5460,1090,WebAttack
198.51.100.21,10.0.0.8,8080,395,5540,1110,WebAttack
198.51.100.22,10.0.0.8,8080,410,5620,1130,WebAttack
198.51.100.23,10.0.0.8,8080,425,5700,1150,WebAttack
198.51.100.20,10.0.0.8,8080,440,5780,1170,WebAttack
198.51.100.21,10.0.0.8,8080,455,5860,1190,WebAttack
198.51.100.22,10.0.0.8,8080,470,5940,1210,WebAttack
198.51.100.23,10.0.0.8,8080,485,6020,1230,WebAttack
198.51.100.20,10.0.0.8,8080,500,6100,1250,WebAttack
198.51.100.21,10.0.0.8,8080,515,6180,1270,WebAttack
198.51.100.22,10.0.0.8,8080,530,6260,1290,WebAttack
198.51.100.23,10.0.0.8,8080,545,6340,1310,WebAttack
198.51.100.20,10.0.0.8,8080,560,6420,1330,WebAttack
198.51.100.21,10.0.0.8,8080,575,6500,1350,WebAttack
198.51.100.22,10.0.0.8,8080,590,6580,1370,WebAttack
198.51.100.23,10.0.0.8,8080,605,6660,1390,WebAttack
198.51.100.20,10.0.0.8,8080,620,6740,1410,WebAttack
198.51.100.21,10.0.0.8,8080,635,6820,1430,WebAttack
198.51.100.22,10.0.0.8,8080,650,6900,1450,WebAttack
